Key,File,Type,UsedInMainMenu,NoTranslate,english
attextraprogression,progression,Attribute,,,"[60CCFF]Extra Progression"
attExtraProgressionName,progression,Attribute,,,"[60CCFF]Extra Progression"
attExtraProgressionDesc,progression,perk Per,,,"[60CCFF]Extra Progression allows you to gain additional progress in certain areas to further enhance your character."
attExtraProgressionPerkName,progression,perk Per,,,"[60CCFF]Hello :)"
attExtraProgressionPerkDesc,progression,perk Per,,,"[60CCFF]This placeholder perk does nothing, it's only here to prevent errors."
extraCharacterPerksName,progression,Skill,,,"[60CCFF]Character Perks"
extraCharacterPerksDesc,progression,Skill,,,"[60CCFF]Directly improves your character's power."
extraCombatPerksName,progression,Skill,,,"[60CCFF]Combat Enhancements"
extraCombatPerksDesc,progression,Skill,,,"[60CCFF]Improves your prowess in combat."
extraCraftingPerksName,progression,Skill,,,"[60CCFF]Crafting & Gathering"
extraCraftingPerksDesc,progression,Skill,,,"[60CCFF]Improves your ability to craft."
extraMiscPerksName,progression,Skill,,,"[60CCFF]Miscellaneous"
extraMiscPerksDesc,progression,Skill,,,"[60CCFF]Miscellaneous improvements to various aspects."
extraExpBonusName,progression,perk Int,,,"[60CCFF]Teacher's Pet"
extraExpBonusDesc,progression,perk Int,,,"[60CCFF]Increases all experience gain by up-to 50%."
expBonus10Desc,progression,perk Int,,,"[60CCFF]Increases all experience gained by 10%"
expBonus20Desc,progression,perk Int,,,"[60CCFF]Increases all experience gained by 20%"
expBonus30Desc,progression,perk Int,,,"[60CCFF]Increases all experience gained by 30%"
expBonus40Desc,progression,perk Int,,,"[60CCFF]Increases all experience gained by 40%"
expBonus50Desc,progression,perk Int,,,"[60CCFF]Increases all experience gained by 50%"
expBonus10,progression,perk Int,,,"[60CCFF]10% More XP"
expBonus20,progression,perk Int,,,"[60CCFF]20% More XP"
expBonus30,progression,perk Int,,,"[60CCFF]30% More XP"
expBonus40,progression,perk Int,,,"[60CCFF]40% More XP"
expBonus50,progression,perk Int,,,"[60CCFF]50% More XP"
extraDmgReduceName,progression,perk Int,,,"[60CCFF]Damage Mitigation"
extraDmgReduceDesc,progression,perk Int,,,"[60CCFF]Each point reduces all damage taken by 2%, up to a maximum of 10%"
extraDmgReduce02Desc,progression,perk Int,,,"[60CCFF]Damage taken reduced by 2%."
extraDmgReduce04Desc,progression,perk Int,,,"[60CCFF]Damage taken reduced by 4%."
extraDmgReduce06Desc,progression,perk Int,,,"[60CCFF]Damage taken reduced by 6%."
extraDmgReduce08Desc,progression,perk Int,,,"[60CCFF]Damage taken reduced by 8%."
extraDmgReduce10Desc,progression,perk Int,,,"[60CCFF]Damage taken reduced by 10%."
extraDmgReduce02,progression,perk Int,,,"[60CCFF]2% Damage Mitigation"
extraDmgReduce04,progression,perk Int,,,"[60CCFF]4% Damage Mitigation"
extraDmgReduce06,progression,perk Int,,,"[60CCFF]6% Damage Mitigation"
extraDmgReduce08,progression,perk Int,,,"[60CCFF]8% Damage Mitigation"
extraDmgReduce10,progression,perk Int,,,"[60CCFF]10% Damage Mitigation"
extraMaxHealthName,progression,perk Int,,,"[60CCFF]Maximum Health Increase"
extraMaxHealthDesc,progression,perk Int,,,"[60CCFF]Increases your maximum health points by up to 100.\n\n[CC0000]REQUIRES 2 SKILL POINTS PER LEVEL"
extraMaxHealth1,progression,perk Int,,,"[60CCFF]+20 Health"
extraMaxHealth2,progression,perk Int,,,"[60CCFF]+40 Health"
extraMaxHealth3,progression,perk Int,,,"[60CCFF]+60 Health"
extraMaxHealth4,progression,perk Int,,,"[60CCFF]+80 Health"
extraMaxHealth5,progression,perk Int,,,"[60CCFF]+100 Health"
extraMaxHealth1Desc,progression,perk Int,,,"[60CCFF]Increases base health pool by 20 points."
extraMaxHealth2Desc,progression,perk Int,,,"[60CCFF]Increases base health pool by 40 points."
extraMaxHealth3Desc,progression,perk Int,,,"[60CCFF]Increases base health pool by 60 points."
extraMaxHealth4Desc,progression,perk Int,,,"[60CCFF]Increases base health pool by 80 points."
extraMaxHealth5Desc,progression,perk Int,,,"[60CCFF]Increases base health pool by 100 points."
extraMaxStaminaName,progression,perk Int,,,"[60CCFF]Maximum Stamina Increase"
extraMaxStaminaDesc,progression,perk Int,,,"[60CCFF]Increases your maximum Stamina points by up to 100.\n\n[CC0000]REQUIRES 2 SKILL POINTS PER LEVEL"
extraMaxStamina1Desc,progression,perk Int,,,"[60CCFF]Increases base Stamina pool by 20 points."
extraMaxStamina2Desc,progression,perk Int,,,"[60CCFF]Increases base Stamina pool by 40 points."
extraMaxStamina3Desc,progression,perk Int,,,"[60CCFF]Increases base Stamina pool by 60 points."
extraMaxStamina4Desc,progression,perk Int,,,"[60CCFF]Increases base Stamina pool by 80 points."
extraMaxStamina5Desc,progression,perk Int,,,"[60CCFF]Increases base Stamina pool by 100 points."
extraMaxStamina1,progression,perk Int,,,"[60CCFF]+20 Stamina"
extraMaxStamina2,progression,perk Int,,,"[60CCFF]+40 Stamina"
extraMaxStamina3,progression,perk Int,,,"[60CCFF]+60 Stamina"
extraMaxStamina4,progression,perk Int,,,"[60CCFF]+80 Stamina"
extraMaxStamina5,progression,perk Int,,,"[60CCFF]+100 Stamina"
extraThermalProtName,progression,perk Int,,,"[60CCFF]Thermal Protection"
extraThermalProtDesc,progression,perk Int,,,"[60CCFF]Increases your Hypothermal and Hyperthermal resistance by 6 points per level, up to 18."
extraThermalProt04Desc,progression,perk Int,,,"[60CCFF]Increases your resistance to extreme temperatures by 6."
extraThermalProt08Desc,progression,perk Int,,,"[60CCFF]Increases your resistance to extreme temperatures by 12."
extraThermalProt12Desc,progression,perk Int,,,"[60CCFF]Increases your resistance to extreme temperatures by 18."
extraThermalProt04,progression,perk Int,,,"[60CCFF]+6 Hot and Cold Resist"
extraThermalProt08,progression,perk Int,,,"[60CCFF]+12 Hot and Cold Resist"
extraThermalProt12,progression,perk Int,,,"[60CCFF]+18 Hot and Cold Resist"
extraCraftSpeedName,progression,perk Int,,,"[60CCFF]Crafting Mastery"
extraCraftSpeedDesc,progression,perk Int,,,"[60CCFF]Your mastery of smashing things together to make other things allows you to craft up to 50% faster than normal"
extraCraftSpeed10Desc,progression,perk Int,,,"[60CCFF]You can craft 10% faster than normal."
extraCraftSpeed20Desc,progression,perk Int,,,"[60CCFF]You can craft 20% faster than normal."
extraCraftSpeed30Desc,progression,perk Int,,,"[60CCFF]You can craft 30% faster than normal."
extraCraftSpeed40Desc,progression,perk Int,,,"[60CCFF]You can craft 40% faster than normal."
extraCraftSpeed50Desc,progression,perk Int,,,"[60CCFF]You can craft 50% faster than normal."
extraCraftSpeed10,progression,perk Int,,,"[60CCFF]10% Faster Crafting"
extraCraftSpeed20,progression,perk Int,,,"[60CCFF]20% Faster Crafting"
extraCraftSpeed30,progression,perk Int,,,"[60CCFF]30% Faster Crafting"
